time,pna,ea,wa,wp,eu,soi,esoi,nino12,nino34,nino4
137406.0,15.71582,-81.5907,-154.32495,-191.56592,-41.957764,247.33594,204.0,22.465458,27.048403,27.543713
137436.5,-54.1604,-105.56543,-157.99268,-157.323,-11.974243,354.46875,244.16406,22.531694,26.325321,27.087334
137467.5,-31.951904,-114.90784,-153.83032,-143.47949,-36.69336,368.10938,323.875,21.23536,25.465958,26.414938
137498.0,31.340088,-113.37622,-141.52197,-263.98486,-58.255005,433.46094,214.21875,21.17468,24.815495,25.673405
137528.5,37.94812,-198.19434,-258.17993,-276.06934,-124.04382,423.71094,278.33594,21.331106,24.626066,25.537361
137559.0,-19.18164,-85.01001,-274.1985,-337.00146,-13.269043,317.95312,263.6797,22.49515,24.619741,25.401451
137589.5,-23.6156,-66.54321,-331.87012,-300.08716,-34.452393,287.71094,303.53906,23.383846,24.81902,25.401829
137620.5,-98.2041,-106.05188,-340.13135,-218.02881,-109.547485,287.23438,268.35938,25.492,25.068275,25.462917
137650.0,106.53479,-23.29956,-274.93042,-157.91113,15.445435,292.60156,318.1172,25.665468,25.258247,25.581123
137679.5,33.37744,-81.47058,-222.01636,-188.77661,26.409058,201.60938,246.53125,25.812902,24.915943,25.664894
137710.0,47.934692,-162.21411,-114.2666,-271.6858,-9.734375,46.84375,148.32031,26.552286,26.254663,26.32358
137740.5,53.928467,-113.5791,-147.18188,-188.4768,-4.837158,291.91406,239.38281,22.05811,26.640663,27.102114
137771.0,22.133545,-91.489746,-142.58423,-137.80688,-43.41382,378.9375,493.3125,20.561913,25.980915,26.606207
137801.5,-21.4292,-100.88757,-166.73218,-137.05371,-15.285889,415.40625,533.59375,19.843952,24.866533,25.722015
137832.5,-22.154541,-60.8385,-159.35132,-170.5564,-51.5271,506.78906,457.3672,19.97958,23.419024,24.242386
137863.0,12.728882,-153.96143,-229.20752,-249.87671,-60.142822,608.9453,485.0547,20.74051,22.971336,24.091665
137893.5,-18.805542,-169.07263,-231.71973,-283.68848,-100.28735,371.42188,453.64844,20.666714,22.756775,23.636147
137924.0,-4.6783447,-96.99658,-280.00464,-268.41455,-87.03528,271.0625,521.77344,21.543978,22.499184,23.177452
137954.5,-23.791748,-180.94946,-226.54443,-220.2981,-9.231567,229.03906,382.40625,22.960577,22.338654,22.78465
137985.5,-42.991943,-153.44055,-345.0459,-199.7251,6.1971436,232.83594,469.91406,25.932375,23.376272,23.698168
138015.0,30.79187,-145.43298,-293.87988,-319.44165,-57.632202,278.79688,436.3125,25.697548,23.457947,24.108906
138044.5,-55.524536,-97.26892,-312.92285,-225.16968,3.7357178,45.5625,336.22656,25.989042,24.077942,24.473438
138075.0,15.24231,-85.497314,-161.26611,-257.04932,-19.680298,146.57812,304.9375,25.94542,24.646065,25.140772
138105.5,31.827759,-107.73132,-166.12842,-245.68604,-48.38098,210.9375,471.0625,22.612358,25.08933,25.433247
138136.0,-0.99572754,-120.73535,-225.0498,-143.23877,-72.057495,200.875,398.64844,21.642147,25.175224,25.508099
